SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
Bribie - Beachmere	Moreton Bay - North	$780,000	7.52	7	4.08	11.01	53.10	10.38167939	-27.00040652	153.052246
Forest Lake - Oxley	Ipswich	$883,785	17.02	9	3.92	7.46	29.21	11.9123506	-27.61381237	152.9877282
Forest Lake - Oxley	Ipswich	$593,250	29.68	8	5.11	4.93	25.16	11.9123506	-27.61381237	152.9877282
Outback - North	Queensland - Outback	$315,000	1140.00	2	0.00	1.73	0.00	-3.8	-17.64018386	138.7458182
Noosa Hinterland	Sunshine Coast	$1,980,000	0.00	6	3.42	13.58	46.40	14.74226804	-26.45226318	153.0060037
Darling Downs - East	Darling Downs - Maranoa	$539,000	20.27	13	5.20	3.78	19.65	6.888045541	-27.31727033	151.906675
Townsville	Townsville	$319,300	24.07	13	7.36	2.61	19.21	4.861111111	-19.32310338	146.7484751
Townsville	Townsville	$551,050	26.03	11	5.15	4.38	26.67	4.861111111	-19.32310338	146.7484751
Mackay	Mackay - Isaac - Whitsunday	$565,000	18.48	16	5.69	3.48	23.42	3.523573201	-21.10258573	148.7680562
The Hills District	Moreton Bay - South	$1,729,700	13.51	6	2.77	8.94	24.77	10.19230769	-27.35809984	152.9168187
Toowoomba	Toowoomba	$599,000	13.71	9	3.80	7.52	28.56	8.413597734	-27.59971891	151.9015468
Toowoomba	Toowoomba	$400,000	23.59	8	5.61	4.54	25.46	8.413597734	-27.59971891	151.9015468
Rocklea - Acacia Ridge	Brisbane - South	$705,000	23.88	8	5.11	4.58	23.38	10	-27.64754286	153.0552325
Rocklea - Acacia Ridge	Brisbane - South	$1,055,000	11.73	6	3.37	7.61	25.64	10	-27.64754286	153.0552325
Burnett	Wide Bay	$495,000	11.76	7	4.86	7.62	37.03	6.52173913	-25.05192614	152.0240843
Central Highlands (Qld)	Central Queensland	$255,000	15.94	15	8.24	3.32	27.32	1.46953405	-23.69526052	149.6803823
Darling Downs - East	Darling Downs - Maranoa	$420,000	20.27	13	6.41	5.18	33.24	6.888045541	-27.27138591	151.037667
Ipswich Hinterland	Ipswich	$723,150	23.27	10	3.97	9.32	37.03	11.87096774	-28.0213361	152.6651223
Darling Downs (West) - Maranoa	Darling Downs - Maranoa	$285,000	19.65	11	7.92	2.87	22.76	1	-26.69600325	149.7721711
Sunshine Coast Hinterland	Sunshine Coast	$1,190,000	12.22	8	3.46	10.38	35.89	12.44444444	-26.64340993	152.8953405
Mackay	Mackay - Isaac - Whitsunday	$625,000	18.48	16	4.95	3.37	19.76	3.523573201	-21.13146508	149.0782545
Maryborough	Wide Bay	$750,000	10.75	5	4.40	8.70	38.29	10.6	-25.46659135	152.7248403
Hervey Bay	Wide Bay	$1,100,000	8.13	11	3.80	10.32	46.33	10.15151515	-25.2964524	152.774558
Hervey Bay	Wide Bay	$1,250,000	8.13	11	3.07	11.33	41.19	10.15151515	-25.27725499	152.7655398
Maryborough	Wide Bay	$600,000	10.75	5	4.73	5.61	26.54	10.6	-25.50580802	152.5389986
Cleveland - Stradbroke	Brisbane - East	$1,395,000	10.13	8	11.66	22.69	264.51	8.164948454	-27.49693259	153.4058844
Forest Lake - Oxley	Ipswich	$579,000	29.68	8	4.19	6.95	29.10	11.9123506	-27.59064072	152.9862406
Forest Lake - Oxley	Ipswich	$800,000	17.02	9	3.92	10.23	40.14	11.9123506	-27.59064072	152.9862406
Burnett	Wide Bay	$385,000	11.76	7	5.92	6.89	40.79	6.52173913	-26.39350713	151.2426542
Holland Park - Yeronga	Brisbane - South	$630,000	23.85	9	5.97	4.72	28.21	11.61315583	-27.49465587	153.0263562
Holland Park - Yeronga	Brisbane - South	$1,191,800	13.58	4	3.08	10.89	33.55	11.61315583	-27.49465587	153.0263562
Bowen Basin - North	Mackay - Isaac - Whitsunday	$199,000	26.00	15	10.57	1.24	13.15	0.64516129	-22.52653114	148.3178874
Bowen Basin - North	Mackay - Isaac - Whitsunday	$238,000	3.13	17	10.40	1.40	17.18	0.64516129	-22.52653114	148.3178874
Beenleigh	Logan - Beaudesert	$480,000	31.43	7	4.82	7.29	35.14	12.703125	-27.70286509	153.2179286
Beenleigh	Logan - Beaudesert	$651,000	17.18	6	4.01	10.21	48.48	12.703125	-27.70286509	153.2179286
